[WARN] 2023-02-14 10:16:34,839 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 10:16:36,250 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRADO_ASIMETRICO_RSA
[WARN] 2023-02-14 10:41:49,173 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 10:42:00,836 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónSALIR
[INFO] 2023-02-14 10:42:00,836 [main]  com.mycompany.psp_ev2_libexamen.Main main - Cerramos la apliación
[WARN] 2023-02-14 10:42:07,099 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 10:42:09,057 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónHASH_STRING
[INFO] 2023-02-14 10:42:13,433 [main]  com.mycompany.psp_ev2_libexamen.managers.UIManager stringToHashedBase64 - Se va a hashear el input asd
[INFO] 2023-02-14 10:42:13,445 [main]  com.mycompany.psp_ev2_libexamen.managers.UIManager stringToHashedBase64 - El Hash del String: asd en Base64 es: 5U7n4oX7sCdSeRQ6vExVTlMU57QX7KyDpZhKlk+suq1ohmooQcPoPd8SWimFVmJhxAFPn5YOxgJTrrzalROptA==
[INFO] 2023-02-14 10:42:16,177 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRADO_SIMETRICO_DES
[INFO] 2023-02-14 10:42:16,245 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager generateSecretKey - La key simetrica generada es:com.sun.crypto.provider.DESKey@fffe79b1
[WARN] 2023-02-14 10:42:55,686 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 10:42:57,650 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRADO_SIMETRICO_DES
[INFO] 2023-02-14 10:53:31,423 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónSALIR
[INFO] 2023-02-14 10:53:31,423 [main]  com.mycompany.psp_ev2_libexamen.Main main - Cerramos la apliación
[WARN] 2023-02-14 11:01:21,112 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 11:01:23,397 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRADO_ASIMETRICO_RSA
[WARN] 2023-02-14 11:01:51,256 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 11:02:05,216 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRADO_ASIMETRICO_RSA
[WARN] 2023-02-14 11:03:27,665 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 11:03:57,544 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRADO_ASIMETRICO_RSA
[WARN] 2023-02-14 11:17:50,371 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 11:17:52,559 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRADO_ASIMETRICO_RSA
[WARN] 2023-02-14 11:18:55,251 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 11:19:05,830 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRADO_ASIMETRICO_RSA
[WARN] 2023-02-14 11:27:38,259 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 11:27:42,933 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónSALIR
[INFO] 2023-02-14 11:27:42,933 [main]  com.mycompany.psp_ev2_libexamen.Main main - Cerramos la apliación
[WARN] 2023-02-14 11:55:20,908 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 11:55:23,935 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRADO_ASIMETRICO_RSA_FIRMA_DIGITAL
[WARN] 2023-02-14 11:55:24,114 [main]  com.mycompany.psp_ev2_libexamen.Main main - La firma digital no es válida
[WARN] 2023-02-14 11:56:56,305 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 11:56:59,330 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRADO_ASIMETRICO_RSA_FIRMA_DIGITAL
[WARN] 2023-02-14 11:56:59,509 [main]  com.mycompany.psp_ev2_libexamen.Main main - La firma digital no es válida
[WARN] 2023-02-14 11:58:41,599 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 11:58:43,011 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRADO_ASIMETRICO_RSA_FIRMA_DIGITAL
[WARN] 2023-02-14 12:01:12,778 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 12:01:14,633 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRADO_ASIMETRICO_RSA_FIRMA_DIGITAL
[INFO] 2023-02-14 12:02:12,599 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRADO_ASIMETRICO_RSA_FIRMA_DIGITAL
[WARN] 2023-02-14 12:02:12,616 [main]  com.mycompany.psp_ev2_libexamen.Main main - La firma digital no es válida
[WARN] 2023-02-14 12:02:30,322 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 12:02:37,734 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRADO_ASIMETRICO_DSA_FIRMA_DIGITAL
[WARN] 2023-02-14 12:59:51,681 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 12:59:54,496 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónENVIAR_CORREO
[WARN] 2023-02-14 13:00:47,662 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 13:00:50,058 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónENVIAR_CORREO
[INFO] 2023-02-14 13:25:34,256 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónSALIR
[INFO] 2023-02-14 13:25:34,256 [main]  com.mycompany.psp_ev2_libexamen.Main main - Cerramos la apliación
